Chinaski-Klara,,13.5586,24.0357,12.0352,24.0362,8.27891,14.3341,14.168,15.1604
Michal_David-Nonstop,,18.4336,24.1663,13.8633,24.149,11.3258,14.3803,18.0289,15.213
Neznamy-Nadrazi,,23.818,23.288,11.6305,23.2916,14.3727,13.844,15.082,15.2143
Karel_Kryl-Karavana_mraku,,18.4336,23.4337,11.7305,23.4591,11.3258,13.9497,15.2867,15.2152
Tri_sestry-AIDA,,19.1477,23.2886,11.6305,23.2941,11.7305,13.8844,15.1867,15.2198
La_Vela_Puerca-Zafar,,23.3086,23.4756,13.1539,23.47,14.168,14.0009,17.1148,15.3766
Jaromir_Nohavica-Kometa,,14.882,24.5362,12.2398,24.5471,8.98828,14.5757,15.4914,15.4218
Jaromir_Nohavica-Lachtani,,16.8102,24.6388,13.1539,24.631,10.207,14.6313,17.2148,15.4806
Karel_Kryl-Ukolebavka,,21.2805,23.7087,11.9352,23.7018,12.9492,14.1295,15.3867,15.5217
Olympic-Bon_soir_mademoiselle_Paris,,24.2227,24.3241,11.8352,24.3436,14.6773,14.611,15.3867,15.5217
Milan_Chladil-Jezdim_bez_nehod,,24.3273,24.2621,11.9352,23.802,14.7773,14.2773,15.4914,15.559
Lucie-Chci_zas_v_tobe_spat,,14.3727,24.7747,12.3398,24.7856,8.68359,14.7116,14.882,15.5841
Summer_All_Stars-Leto_lasky,,14.7773,24.9236,12.4445,24.9246,8.98828,14.8398,15.3867,15.6697
Kamelot-Zachrante_kone,,25.9508,24.0045,12.6445,23.9904,15.6914,14.327,16.6055,15.7171
Devitka-Holka_od_koni,,15.4914,25.0137,12.4445,25.0313,9.49766,14.8845,16.1008,15.7454
Xindl_X-Od_mozku_k_srdci,,10.7164,25.0643,14.168,25.0528,6.55078,14.953,11.1211,15.7905
Kabat-Colorado,,23.3086,24.1713,12.0352,24.1718,14.168,14.3738,15.6914,15.7944
Honza_Jicha-Dezinfekce,,19.3477,24.1933,12.0352,24.1712,11.8352,14.3738,15.6914,15.7944
Wanastowy_Vjecy-Otevrena_zlomenina_srdecniho_svalu,,16.2008,25.1578,12.5445,25.1582,9.90234,14.9426,16.3008,15.8014
AG_Flek-Carpe_diem,,19.2477,25.3753,12.6445,25.3587,11.7305,15.0668,16.5055,15.865
Nedvedi-Loucim_se_s_tmou,,24.832,24.3665,12.0352,24.2747,14.982,14.4309,15.7961,15.8651
Karel_Kryl-Hlas,,16.3008,24.4514,12.2398,24.4435,9.90234,14.5261,15.8961,15.8655
Karel_Kryl-Nevidoma_divka,,18.1289,25.201,12.6445,25.2166,11.1211,15.0314,16.5055,15.8955
Traband-Cernej_pasazer,,15.3867,25.3533,12.6445,25.3613,9.29297,15.0698,15.9961,15.932
Ready_Kirken-1+1,,22.6992,24.3999,12.3398,24.4024,13.8633,14.5582,16.2008,15.958
Xavier_Baumaxa-Pazitka,,25.0367,24.4448,12.2398,24.4435,15.082,14.5273,15.8961,15.9655
Zalman_&_Spol.-Jedenkrat,,16.6055,25.4691,12.6445,25.4699,10.107,15.1429,16.6055,16.0267
Kamil_Strihavka-Zeme_vzdalena,,18.6383,25.5778,12.7492,25.5687,11.4258,15.1863,16.6055,16.0617
Nightwork-Cekam_na_signal,,11.1211,25.5132,12.7492,25.5347,6.75547,15.218,11.6305,16.0647
La_Vela_Puerca-Se_a_Donde_Quiere_Ir,,17.7242,24.5413,12.6445,24.5555,10.8164,14.6546,16.5055,16.0846
Tomas_Klus-Cas,,14.4727,25.5724,12.7492,25.5713,8.88828,15.2116,15.082,16.0972
Krystof-Ty_a_ja,,25.8508,24.6582,12.6445,24.6577,15.6914,14.7085,16.5055,16.12
Stephen_Lynch-Special_Ed,,10.4117,25.6654,12.8492,25.6985,6.24609,15.3105,10.8164,16.1701
Treasure_Planet-I'm_Still_Here,,12.6445,25.7643,12.8492,25.7719,7.76953,15.322,13.2539,16.2115
Kabat-Pohoda,,17.4195,25.8176,12.8492,25.8084,10.6164,15.3595,16.8102,16.2242
Nerez-Ja_s_tebou_zit_nebudu,,18.1289,25.8356,12.8492,25.8453,11.1211,15.3648,16.8102,16.2242
Traband-Krasojezdkyne,,25.4414,24.9099,12.4445,24.8869,15.3867,14.7855,16.2008,16.2361
Epy_de_Mye-Obycejne_fotky,,19.043,24.8725,12.3398,24.8544,11.6305,14.7672,16.2008,16.2361
Bo_Burnham-Lower_Your_Expectations,,9.49766,25.7651,12.9492,25.7889,5.74141,15.3497,9.90234,16.2377
Imagine_Dragons-Radioactive,,19.857,25.8509,12.9492,25.8602,12.0352,15.3642,16.8102,16.2596
Chinaski-Dobrak_od_kosti,,19.2477,25.7861,12.9492,25.7883,11.7305,15.3698,16.8102,16.2596
Lion_King-We_Are_One,,16.2008,25.8845,12.9492,25.8976,9.90234,15.4241,16.9102,16.3207
Jaromir_Nohavica-Hlidac_krav,,19.3477,25.9075,12.9492,25.9353,11.8352,15.4484,16.9102,16.3207
